2022-01-01 22:34:27.112 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_conv_b2 |
2022-01-01 23:04:23.675 | INFO     | __main__:<module>:111 - | epoch : 20 | training done |
2022-01-01 23:04:39.982 | INFO     | __main__:<module>:244 - | epoch : 20 | val done |
2022-01-01 23:05:50.696 | INFO     | __main__:<module>:111 - | epoch : 21 | training done |
2022-01-01 23:06:07.095 | INFO     | __main__:<module>:240 - | epoch : 21 | CVC-300 : 0.9361269420780396 | CVC-ClinicDB : 0.9707354463563371 | CVC-ColonDB : 0.8826469185546187 | ETIS-LaribPolypDB : 0.8897231937956349 | Kvasir : 0.9379743090150989 |
2022-01-01 23:06:07.096 | CRITICAL | __main__:<module>:241 - | epoch : 21 | best_val_dice_score : 0.9234413619599458 |
2022-01-01 23:07:20.411 | INFO     | __main__:<module>:111 - | epoch : 22 | training done |
2022-01-01 23:07:35.528 | INFO     | __main__:<module>:244 - | epoch : 22 | val done |
2022-01-01 23:08:50.010 | INFO     | __main__:<module>:111 - | epoch : 23 | training done |
2022-01-01 23:09:05.499 | INFO     | __main__:<module>:244 - | epoch : 23 | val done |
2022-01-01 23:10:21.451 | INFO     | __main__:<module>:111 - | epoch : 24 | training done |
2022-01-01 23:10:36.966 | INFO     | __main__:<module>:244 - | epoch : 24 | val done |
2022-01-01 23:11:51.945 | INFO     | __main__:<module>:111 - | epoch : 25 | training done |
2022-01-01 23:12:08.094 | INFO     | __main__:<module>:244 - | epoch : 25 | val done |
2022-01-01 23:13:21.128 | INFO     | __main__:<module>:111 - | epoch : 26 | training done |
2022-01-01 23:13:37.628 | INFO     | __main__:<module>:240 - | epoch : 26 | CVC-300 : 0.9408615401214702 | CVC-ClinicDB : 0.9712137408945966 | CVC-ColonDB : 0.8837515061694763 | ETIS-LaribPolypDB : 0.8833436364493131 | Kvasir : 0.938542780374897 |
2022-01-01 23:13:37.628 | CRITICAL | __main__:<module>:241 - | epoch : 26 | best_val_dice_score : 0.9235426408019507 |
2022-01-01 23:14:49.080 | INFO     | __main__:<module>:111 - | epoch : 27 | training done |
2022-01-01 23:15:05.845 | INFO     | __main__:<module>:244 - | epoch : 27 | val done |
2022-01-01 23:16:14.987 | INFO     | __main__:<module>:111 - | epoch : 28 | training done |
2022-01-01 23:16:32.277 | INFO     | __main__:<module>:240 - | epoch : 28 | CVC-300 : 0.941025918552493 | CVC-ClinicDB : 0.969784302823071 | CVC-ColonDB : 0.8926343407764327 | ETIS-LaribPolypDB : 0.8809571011184886 | Kvasir : 0.9345980083184379 |
2022-01-01 23:16:32.278 | CRITICAL | __main__:<module>:241 - | epoch : 28 | best_val_dice_score : 0.9237999343177847 |
2022-01-01 23:17:39.792 | INFO     | __main__:<module>:111 - | epoch : 29 | training done |
2022-01-01 23:17:57.032 | INFO     | __main__:<module>:244 - | epoch : 29 | val done |
2022-01-01 23:19:04.021 | INFO     | __main__:<module>:111 - | epoch : 30 | training done |
2022-01-01 23:19:21.292 | INFO     | __main__:<module>:244 - | epoch : 30 | val done |
2022-01-01 23:20:28.381 | INFO     | __main__:<module>:111 - | epoch : 31 | training done |
2022-01-01 23:20:45.669 | INFO     | __main__:<module>:244 - | epoch : 31 | val done |
2022-01-01 23:21:52.938 | INFO     | __main__:<module>:111 - | epoch : 32 | training done |
2022-01-01 23:22:10.320 | INFO     | __main__:<module>:240 - | epoch : 32 | CVC-300 : 0.939287726417495 | CVC-ClinicDB : 0.9602630510158903 | CVC-ColonDB : 0.8700260808494548 | ETIS-LaribPolypDB : 0.9220270951687695 | Kvasir : 0.935929000191708 |
2022-01-01 23:22:10.321 | CRITICAL | __main__:<module>:241 - | epoch : 32 | best_val_dice_score : 0.9255065907286635 |
2022-01-01 23:23:17.978 | INFO     | __main__:<module>:111 - | epoch : 33 | training done |
2022-01-01 23:23:35.295 | INFO     | __main__:<module>:244 - | epoch : 33 | val done |
2022-01-01 23:24:42.623 | INFO     | __main__:<module>:111 - | epoch : 34 | training done |
2022-01-01 23:24:59.859 | INFO     | __main__:<module>:244 - | epoch : 34 | val done |
2022-01-01 23:26:06.917 | INFO     | __main__:<module>:111 - | epoch : 35 | training done |
2022-01-01 23:26:24.222 | INFO     | __main__:<module>:244 - | epoch : 35 | val done |
2022-01-01 23:27:31.230 | INFO     | __main__:<module>:111 - | epoch : 36 | training done |
2022-01-01 23:27:48.555 | INFO     | __main__:<module>:244 - | epoch : 36 | val done |
2022-01-01 23:28:55.794 | INFO     | __main__:<module>:111 - | epoch : 37 | training done |
2022-01-01 23:29:13.102 | INFO     | __main__:<module>:244 - | epoch : 37 | val done |
2022-01-01 23:30:20.314 | INFO     | __main__:<module>:111 - | epoch : 38 | training done |
2022-01-01 23:30:37.454 | INFO     | __main__:<module>:240 - | epoch : 38 | CVC-300 : 0.9461726638190598 | CVC-ClinicDB : 0.9708360077441803 | CVC-ColonDB : 0.8929304597763474 | ETIS-LaribPolypDB : 0.8820010547295395 | Kvasir : 0.9411580788832853 |
2022-01-01 23:30:37.454 | CRITICAL | __main__:<module>:241 - | epoch : 38 | best_val_dice_score : 0.9266196529904824 |
2022-01-01 23:31:47.879 | INFO     | __main__:<module>:111 - | epoch : 39 | training done |
2022-01-01 23:32:04.762 | INFO     | __main__:<module>:244 - | epoch : 39 | val done |
2022-01-01 23:33:16.857 | INFO     | __main__:<module>:111 - | epoch : 40 | training done |
2022-01-01 23:33:32.933 | INFO     | __main__:<module>:244 - | epoch : 40 | val done |
2022-01-01 23:34:41.125 | INFO     | __main__:<module>:111 - | epoch : 41 | training done |
2022-01-01 23:34:54.969 | INFO     | __main__:<module>:240 - | epoch : 41 | CVC-300 : 0.9410128969624484 | CVC-ClinicDB : 0.9711725610829196 | CVC-ColonDB : 0.8949566609757239 | ETIS-LaribPolypDB : 0.9006500793455444 | Kvasir : 0.9412848561480498 |
2022-01-01 23:34:54.969 | CRITICAL | __main__:<module>:241 - | epoch : 41 | best_val_dice_score : 0.9298154109029373 |
2022-01-01 23:35:35.508 | INFO     | __main__:<module>:111 - | epoch : 42 | training done |
2022-01-01 23:35:49.372 | INFO     | __main__:<module>:244 - | epoch : 42 | val done |
2022-01-01 23:36:29.423 | INFO     | __main__:<module>:111 - | epoch : 43 | training done |
2022-01-01 23:36:43.283 | INFO     | __main__:<module>:244 - | epoch : 43 | val done |
2022-01-01 23:37:23.374 | INFO     | __main__:<module>:111 - | epoch : 44 | training done |
2022-01-01 23:37:36.960 | INFO     | __main__:<module>:244 - | epoch : 44 | val done |
2022-01-01 23:38:16.997 | INFO     | __main__:<module>:111 - | epoch : 45 | training done |
2022-01-01 23:38:30.662 | INFO     | __main__:<module>:244 - | epoch : 45 | val done |
2022-01-01 23:39:10.757 | INFO     | __main__:<module>:111 - | epoch : 46 | training done |
2022-01-01 23:39:24.375 | INFO     | __main__:<module>:244 - | epoch : 46 | val done |
2022-01-01 23:40:04.454 | INFO     | __main__:<module>:111 - | epoch : 47 | training done |
2022-01-01 23:40:18.279 | INFO     | __main__:<module>:244 - | epoch : 47 | val done |
2022-01-01 23:40:58.372 | INFO     | __main__:<module>:111 - | epoch : 48 | training done |
2022-01-01 23:41:12.212 | INFO     | __main__:<module>:244 - | epoch : 48 | val done |
2022-01-01 23:41:52.249 | INFO     | __main__:<module>:111 - | epoch : 49 | training done |
2022-01-01 23:42:06.041 | INFO     | __main__:<module>:244 - | epoch : 49 | val done |
2022-01-01 23:42:46.152 | INFO     | __main__:<module>:111 - | epoch : 50 | training done |
2022-01-01 23:42:59.906 | INFO     | __main__:<module>:244 - | epoch : 50 | val done |
2022-01-01 23:43:40.005 | INFO     | __main__:<module>:111 - | epoch : 51 | training done |
2022-01-01 23:43:53.737 | INFO     | __main__:<module>:244 - | epoch : 51 | val done |
2022-01-01 23:44:33.833 | INFO     | __main__:<module>:111 - | epoch : 52 | training done |
2022-01-01 23:44:47.495 | INFO     | __main__:<module>:244 - | epoch : 52 | val done |
2022-01-01 23:45:27.461 | INFO     | __main__:<module>:111 - | epoch : 53 | training done |
2022-01-01 23:45:41.179 | INFO     | __main__:<module>:244 - | epoch : 53 | val done |
2022-01-01 23:46:21.197 | INFO     | __main__:<module>:111 - | epoch : 54 | training done |
2022-01-01 23:46:34.738 | INFO     | __main__:<module>:244 - | epoch : 54 | val done |
2022-01-01 23:47:14.792 | INFO     | __main__:<module>:111 - | epoch : 55 | training done |
2022-01-01 23:47:28.446 | INFO     | __main__:<module>:244 - | epoch : 55 | val done |
2022-01-01 23:48:08.481 | INFO     | __main__:<module>:111 - | epoch : 56 | training done |
2022-01-01 23:48:22.197 | INFO     | __main__:<module>:244 - | epoch : 56 | val done |
2022-01-01 23:49:02.307 | INFO     | __main__:<module>:111 - | epoch : 57 | training done |
2022-01-01 23:49:16.044 | INFO     | __main__:<module>:244 - | epoch : 57 | val done |
2022-01-01 23:49:56.058 | INFO     | __main__:<module>:111 - | epoch : 58 | training done |
2022-01-01 23:50:09.756 | INFO     | __main__:<module>:244 - | epoch : 58 | val done |
2022-01-01 23:50:49.797 | INFO     | __main__:<module>:111 - | epoch : 59 | training done |
2022-01-01 23:51:03.465 | INFO     | __main__:<module>:244 - | epoch : 59 | val done |
2022-01-01 23:51:43.511 | INFO     | __main__:<module>:111 - | epoch : 60 | training done |
2022-01-01 23:51:57.408 | INFO     | __main__:<module>:244 - | epoch : 60 | val done |
2022-01-01 23:52:37.482 | INFO     | __main__:<module>:111 - | epoch : 61 | training done |
2022-01-01 23:52:51.287 | INFO     | __main__:<module>:244 - | epoch : 61 | val done |
