2022-01-02 02:35:59.401 | INFO     | __main__:<module>:111 - | epoch : 20 | training done |
2022-01-02 02:36:16.973 | INFO     | __main__:<module>:244 - | epoch : 20 | val done |
2022-01-02 02:37:39.388 | INFO     | __main__:<module>:111 - | epoch : 21 | training done |
2022-01-02 02:37:55.630 | INFO     | __main__:<module>:244 - | epoch : 21 | val done |
2022-01-02 02:39:19.199 | INFO     | __main__:<module>:111 - | epoch : 22 | training done |
2022-01-02 02:39:36.023 | INFO     | __main__:<module>:244 - | epoch : 22 | val done |
2022-01-02 02:40:56.357 | INFO     | __main__:<module>:111 - | epoch : 23 | training done |
2022-01-02 02:41:14.606 | INFO     | __main__:<module>:244 - | epoch : 23 | val done |
2022-01-02 02:42:31.416 | INFO     | __main__:<module>:111 - | epoch : 24 | training done |
2022-01-02 02:42:50.502 | INFO     | __main__:<module>:244 - | epoch : 24 | val done |
2022-01-02 02:44:07.126 | INFO     | __main__:<module>:111 - | epoch : 25 | training done |
2022-01-02 02:44:25.914 | INFO     | __main__:<module>:244 - | epoch : 25 | val done |
2022-01-02 02:45:42.796 | INFO     | __main__:<module>:111 - | epoch : 26 | training done |
2022-01-02 02:46:01.656 | INFO     | __main__:<module>:244 - | epoch : 26 | val done |
2022-01-02 02:47:18.333 | INFO     | __main__:<module>:111 - | epoch : 27 | training done |
2022-01-02 02:47:37.235 | INFO     | __main__:<module>:244 - | epoch : 27 | val done |
2022-01-02 02:48:53.756 | INFO     | __main__:<module>:111 - | epoch : 28 | training done |
2022-01-02 02:49:12.436 | INFO     | __main__:<module>:244 - | epoch : 28 | val done |
2022-01-02 02:50:29.900 | INFO     | __main__:<module>:111 - | epoch : 29 | training done |
2022-01-02 02:50:47.644 | INFO     | __main__:<module>:244 - | epoch : 29 | val done |
2022-01-02 02:52:09.171 | INFO     | __main__:<module>:111 - | epoch : 30 | training done |
2022-01-02 02:52:25.713 | INFO     | __main__:<module>:244 - | epoch : 30 | val done |
2022-01-02 02:53:49.645 | INFO     | __main__:<module>:111 - | epoch : 31 | training done |
2022-01-02 02:54:06.195 | INFO     | __main__:<module>:244 - | epoch : 31 | val done |
2022-01-02 02:55:27.912 | INFO     | __main__:<module>:111 - | epoch : 32 | training done |
2022-01-02 02:55:45.683 | INFO     | __main__:<module>:244 - | epoch : 32 | val done |
2022-01-02 02:57:02.932 | INFO     | __main__:<module>:111 - | epoch : 33 | training done |
2022-01-02 02:57:21.847 | INFO     | __main__:<module>:244 - | epoch : 33 | val done |
2022-01-02 02:58:38.799 | INFO     | __main__:<module>:111 - | epoch : 34 | training done |
2022-01-02 02:58:57.700 | INFO     | __main__:<module>:244 - | epoch : 34 | val done |
2022-01-02 03:00:14.577 | INFO     | __main__:<module>:111 - | epoch : 35 | training done |
2022-01-02 03:00:33.353 | INFO     | __main__:<module>:244 - | epoch : 35 | val done |
2022-01-02 03:01:50.178 | INFO     | __main__:<module>:111 - | epoch : 36 | training done |
2022-01-02 03:02:09.196 | INFO     | __main__:<module>:244 - | epoch : 36 | val done |
2022-01-02 03:03:26.039 | INFO     | __main__:<module>:111 - | epoch : 37 | training done |
2022-01-02 03:03:44.905 | INFO     | __main__:<module>:244 - | epoch : 37 | val done |
2022-01-02 03:05:01.719 | INFO     | __main__:<module>:111 - | epoch : 38 | training done |
2022-01-02 03:05:19.518 | INFO     | __main__:<module>:244 - | epoch : 38 | val done |
2022-01-02 03:06:40.428 | INFO     | __main__:<module>:111 - | epoch : 39 | training done |
